id,text,author,profession,enabled
quote-001,"今あるものに満たされない者は\nこれから欲しいものにも満たされない",ソクラテス,"古代ギリシャの哲学者",true
quote-002,"呼吸を整えることは、心を整えること。",禅語,,true
quote-003,"今日の一歩が、明日の習慣になる。",,,true
quote-004,"静けさは、最も豊かな音。",,,true
quote-005,"急がず、止まらず。",,,true
quote-006,"今この瞬間に戻る。",,,true
quote-007,"短い時間でも、毎日続ける。",,,true
quote-008,"心が散ったら、やさしく呼吸へ。",,,true
quote-009,"比べない。戻る。続ける。",,,true
quote-010,"気づいた回数だけ、上達している。",,,true
quote-011,"小さな継続が、大きな変化を生む。",,,true
quote-012,"呼吸はいつも、ここにある。",,,true
quote-013,"力を抜くほど、深くなる。",,,true
quote-014,"うまくやるより、続ける。",,,true
quote-015,"止まってもいい。やめない。",,,true
quote-016,"不安は波。呼吸は岸。",,,true
quote-017,"今日は今日のペースで。",,,true
quote-018,"完璧より、実行。",,,true
quote-019,"心が忙しい日は、呼吸を短く数える。",,,true
quote-020,"今ある感覚を、そのまま見る。",,,true
quote-021,"静かに座ることは、勇気でもある。",,,true
quote-022,"呼吸に戻るたび、リセットできる。",,,true
quote-023,"続けた日が、あなたを支える。",,,true
quote-024,"一息で十分。次も一息。",,,true
quote-025,"焦りは合図。深呼吸。",,,true
quote-026,"心の天気は変わる。観察する。",,,true
quote-027,"穏やかさは、練習で育つ。",,,true
quote-028,"迷ったら、呼吸に戻る。",,,true
quote-029,"今日の気づきが、明日をやさしくする。",,,true
quote-030,"身体を感じると、心が落ち着く。",,,true
quote-031,"1分でも、積み上げは本物。",,,true
quote-032,"呼吸は、最短の道。",,,true
quote-033,"戻る練習が、瞑想。",,,true
quote-034,"静けさは、探すものではなく、気づくもの。",,,true
quote-035,"余白があると、よく見える。",,,true
quote-036,"今の自分に、やさしく。",,,true
quote-037,"何もしない時間が、心を整える。",,,true
quote-038,"今日も座れた。それで十分。",,,true
quote-039,"雑念は敵ではない。気づきの材料。",,,true
quote-040,"呼吸が深いほど、世界は静か。",,,true
quote-041,"少しずつ、確実に。",,,true
quote-042,"今ここにいるだけでいい。",,,true
quote-043,"呼吸は、いつでも再スタート。",,,true
quote-044,"立ち止まると、見えるものが増える。",,,true
quote-045,"静かな習慣が、強い心を作る。",,,true
quote-046,"心が走ったら、足元へ。",,,true
quote-047,"身体の重さを感じて、落ち着く。",,,true
quote-048,"できない日も、戻ってこれる。",,,true
quote-049,"ゆっくりでいい。丁寧に。",,,true
quote-050,"呼吸は、いつも味方。",,,true
quote-051,"気づいたら勝ち。",,,true
quote-052,"今日の一呼吸を大切に。",,,true
quote-053,"続けるほど、やさしくなる。",,,true
quote-054,"心の音量を下げる。",,,true
quote-055,"静かに座るだけで、整う。",,,true
quote-056,"今の感覚を、言葉にしないで感じる。",,,true
quote-057,"呼吸の数だけ、落ち着ける。",,,true
quote-058,"練習は裏切らない。",,,true
quote-059,"ゆらいでも戻れる。それが強さ。",,,true
quote-060,"今日も、ここから。",,,true
quote-061,"呼吸に戻るたび、心は磨かれる。",,,true
quote-062,"静けさに、答えがある。",,,true
quote-063,"不安を消さず、距離を置く。",,,true
quote-064,"小さな成功を数える。",,,true
quote-065,"今ここに注意を置く。",,,true
quote-066,"雑念は来る。戻る。",,,true
quote-067,"身体を緩めると、心も緩む。",,,true
quote-068,"今日の練習が、未来の安心。",,,true
quote-069,"深呼吸は、最短の休息。",,,true
quote-070,"静かに、丁寧に。",,,true
quote-071,"できる範囲で、続ける。",,,true
quote-072,"心が散っても、また始められる。",,,true
quote-073,"呼吸のリズムに、帰る。",,,true
quote-074,"今の自分を、責めない。",,,true
quote-075,"少しの時間が、積み重なる。",,,true
quote-076,"呼吸は、いつも現在形。",,,true
quote-077,"今日は、今日だけの一回。",,,true
quote-078,"座ることは、整えること。",,,true
quote-079,"静けさは、贅沢。",,,true
quote-080,"落ち着きは、習慣でつくる。",,,true
quote-081,"呼吸の入口に、意識を置く。",,,true
quote-082,"1回の練習が、1回の自信。",,,true
quote-083,"無理をしないで、続ける。",,,true
quote-084,"気づきは、いつも小さく始まる。",,,true
quote-085,"今ここが、スタート地点。",,,true
quote-086,"呼吸に戻る。何度でも。",,,true
quote-087,"静かな時間が、心を救う。",,,true
quote-088,"速さより、確かさ。",,,true
quote-089,"今日の一歩を信じる。",,,true
quote-090,"呼吸が整うと、視界が広がる。",,,true
quote-091,"心は揺れる。あなたは戻れる。",,,true
quote-092,"何も足さない。何も引かない。",,,true
quote-093,"今のままで、深呼吸。",,,true
quote-094,"丁寧に座ると、丁寧に生きられる。",,,true
quote-095,"気づきは、静けさの中に。",,,true
quote-096,"呼吸は、あなたのリズム。",,,true
quote-097,"続けるほど、静かになる。",,,true
quote-098,"今日も、呼吸から。",,,true
quote-099,"小さな習慣が、人生を変える。",,,true
quote-100,"戻れる自分を信じる。",,,true
